course,course_name,order,code,name,en,lat,lng,is_return
loop,순환 본선,1,201,시청,CITY HALL,37.563534,126.975271,false
loop,순환 본선,2,202,을지로입구,EULJIRO 1-GA,37.565998,126.982569,false
loop,순환 본선,3,203,을지로3가,EULJIRO 3-GA,37.566292,126.991773,false
loop,순환 본선,4,204,을지로4가,EULJIRO 4-GA,37.566611,126.998122,false
loop,순환 본선,5,205,동대문역사문화공원,DONGDAEMUN HISTORY & CULTURE PARK,37.565597,127.009113,false
loop,순환 본선,6,206,신당,SINDANG,37.565681,127.019488,false
loop,순환 본선,7,207,상왕십리,SANGWANGSIMNI,37.564504,127.028872,false
loop,순환 본선,8,208,왕십리,WANGSIMNI,37.561159,127.035505,false
loop,순환 본선,9,209,한양대,HANYANG UNIV.,37.556580,127.043504,false
loop,순환 본선,10,210,뚝섬,TTUKSEOM,37.547180,127.047413,false
loop,순환 본선,11,211,성수,SEONGSU,37.544628,127.055983,false
loop,순환 본선,12,212,건대입구,KONKUK UNIV.,37.540408,127.069231,false
loop,순환 본선,13,213,구의,GUI,37.536857,127.085024,false
loop,순환 본선,14,214,강변,GANGBYEON,37.535161,127.094684,false
loop,순환 본선,15,215,잠실나루,JAMSILLARU,37.520688,127.103836,false
loop,순환 본선,16,216,잠실,JAMSIL,37.513305,127.100129,false
loop,순환 본선,17,217,잠실새내,JAMSILSAENAE,37.511687,127.086162,false
loop,순환 본선,18,218,종합운동장,SPORTS COMPLEX,37.511008,127.073641,false
loop,순환 본선,19,219,삼성,SAMSEONG,37.508827,127.063203,false
loop,순환 본선,20,220,선릉,SEOLLEUNG,37.504257,127.048174,false
loop,순환 본선,21,221,역삼,YEOKSAM,37.500658,127.036430,false
loop,순환 본선,22,222,강남,GANGNAM,37.497958,127.027539,false
loop,순환 본선,23,223,교대,SEOUL NAT'L UNIV. OF EDUCATION,37.493957,127.014631,false
loop,순환 본선,24,224,서초,SEOCHO,37.491910,127.007945,false
loop,순환 본선,25,225,방배,BANGBAE,37.481469,126.997627,false
loop,순환 본선,26,226,사당,SADANG,37.476536,126.981631,false
loop,순환 본선,27,227,낙성대,NAKSEONGDAE,37.476930,126.963783,false
loop,순환 본선,28,228,서울대입구,SEOUL NAT'L UNIV.,37.481233,126.952745,false
loop,순환 본선,29,229,봉천,BONGCHEON,37.482416,126.941896,false
loop,순환 본선,30,230,신림,SILLIM,37.484216,126.929573,false
loop,순환 본선,31,231,신대방,SINDAEBANG,37.487534,126.913279,false
loop,순환 본선,32,232,구로디지털단지,GURO DIGITAL COMPLEX,37.485005,126.902626,false
loop,순환 본선,33,233,대림,DAERIM,37.492426,126.895293,false
loop,순환 본선,34,234,신도림,SINDORIM,37.508815,126.891222,false
loop,순환 본선,35,235,문래,MULLAE,37.517993,126.894766,false
loop,순환 본선,36,236,영등포구청,YEONGDEUNGPO-GU OFFICE,37.525766,126.896627,false
loop,순환 본선,37,237,당산,DANGSAN,37.533877,126.902011,false
loop,순환 본선,38,238,합정,HAPJEONG,37.550025,126.914557,false
loop,순환 본선,39,239,홍대입구,HONGIK UNIV.,37.556748,126.923643,false
loop,순환 본선,40,240,신촌,SINCHON,37.555153,126.936890,false
loop,순환 본선,41,241,이대,EWHA WOMANS UNIV.,37.556734,126.945897,false
loop,순환 본선,42,242,아현,AHYEON,37.557407,126.956079,false
loop,순환 본선,43,243,충정로,CHUNGJEONGNO,37.559742,126.964455,false
loop,순환 본선,44,201R,시청,CITY HALL · LOOP COMPLETE,37.563534,126.975271,true
seongsu,성수지선,1,211,성수,SEONGSU,37.544628,127.055983,false
seongsu,성수지선,2,211-1,용답,YONGDAP,37.561904,127.050899,false
seongsu,성수지선,3,211-2,신답,SINDAP,37.570040,127.046481,false
seongsu,성수지선,4,211-3,용두,YONGDU,37.574012,127.038110,false
seongsu,성수지선,5,211-4,신설동,SINSEOL-DONG,37.574653,127.025158,false
sinjeong,신정지선,1,234,신도림,SINDORIM,37.508815,126.891222,false
sinjeong,신정지선,2,234-1,도림천,DORIMCHEON,37.514759,126.882586,false
sinjeong,신정지선,3,234-2,양천구청,YANGCHEON-GU OFFICE,37.512194,126.865193,false
sinjeong,신정지선,4,234-3,신정네거리,SINJEONGNEGEORI,37.520218,126.852849,false
sinjeong,신정지선,5,234-4,까치산,KKACHISAN,37.531810,126.846706,false
