code,name,english,latitude,longitude
405,진접,JINJEOP,37.720600,127.203400
406,오남,ONAM,37.705000,127.192800
408,별내별가람,BYEOLLAEBYEOLGARAM,37.667800,127.115800
409,불암산,BURAMSAN,37.669560,127.078404
410,상계,SANGGYE,37.660576,127.073199
411,노원,NOWON,37.656274,127.063183
412,창동,CHANG-DONG,37.652993,127.046746
413,쌍문,SSANGMUN,37.648274,127.034381
414,수유,SUYU,37.637127,127.024731
415,미아,MIA,37.626435,127.026151
416,미아사거리,MIASAGEORI,37.613276,127.030083
417,길음,GIREUM,37.604087,127.025353
418,성신여대입구,SUNGSHIN WOMEN'S UNIV.,37.592782,127.017338
419,한성대입구,HANSUNG UNIV.,37.588380,127.006751
420,혜화,HYEHWA,37.582116,127.001759
421,동대문,DONGDAEMUN,37.570840,127.009403
422,동대문역사문화공원,DONGDAEMUN HISTORY & CULTURE PARK,37.565083,127.007645
423,충무로,CHUNGMURO,37.561302,126.995473
424,명동,MYEONG-DONG,37.561055,126.988271
425,회현,HOEHYEON,37.559698,126.979565
426,서울역,SEOUL STATION,37.553172,126.972836
427,숙대입구,SOOKMYUNG WOMEN'S UNIV.,37.545124,126.971952
428,삼각지,SAMGAKJI,37.535057,126.973354
429,신용산,SINYONGSAN,37.529190,126.968580
430,이촌,ICHON,37.522525,126.973350
431,동작,DONGJAK,37.503567,126.980171
432,총신대입구(이수),CHONGSHIN UNIV. (ISU),37.487521,126.982309
433,사당,SADANG,37.476563,126.981746
434,남태령,NAMTAERYEONG,37.464339,126.989081
435,선바위,SEONBAWI,37.451673,127.002303
436,경마공원,SEOUL RACECOURSE PARK,37.443885,127.007888
437,대공원,SEOUL GRAND PARK,37.435675,127.006523
438,과천,GWACHEON,37.433021,126.996568
439,정부과천청사,GOVERNMENT COMPLEX GWACHEON,37.426513,126.989780
440,인덕원,INDEOGWON,37.401901,126.976708
441,평촌,PYEONGCHON,37.394346,126.963881
442,범계,BEOMGYE,37.389793,126.950806
443,금정,GEUMJEONG,37.372221,126.943429
444,산본,SANBON,37.358101,126.933274
445,수리산,SURISAN,37.349801,126.925365
446,대야미,DAEYAMI,37.328467,126.917332
447,반월,BANWOL,37.312212,126.903524
448,상록수,SANGNOKSU,37.302802,126.866178
449,한대앞,HANYANG UNIV. AT ANSAN,37.309689,126.853440
450,중앙,JUNGANG,37.316055,126.838573
451,고잔,GOJAN,37.316784,126.823154
452,초지,CHOJI,37.320646,126.805913
453,안산,ANSAN,37.327082,126.788532
454,신길온천,SINGILONCHEON,37.337472,126.767250
455,정왕,JEONGWANG,37.351735,126.742989
456,오이도,OIDO,37.361773,126.738437
