code,name,english,latitude,longitude,express
901,개화,GAEHWA,37.578608,126.798153,N
902,김포공항,GIMPO INT'L AIRPORT,37.562434,126.801058,Y
903,공항시장,AIRPORT MARKET,37.563726,126.810678,N
904,신방화,SINBANGHWA,37.567532,126.816601,N
905,마곡나루,MAGONGNARU,37.566778,126.827310,Y
906,양천향교,YANGCHEON HYANGGYO,37.568381,126.841333,N
907,가양,GAYANG,37.561391,126.854456,Y
908,증미,JEUNGMI,37.557402,126.861939,N
909,등촌,DEUNGCHON,37.550632,126.865689,N
910,염창,YEOMCHANG,37.546936,126.874916,Y
911,신목동,SINMOKDONG,37.544277,126.883080,N
912,선유도,SEONYUDO,37.538020,126.893525,N
913,당산,DANGSAN,37.533406,126.902809,Y
914,국회의사당,NATIONAL ASSEMBLY,37.528247,126.917821,N
915,여의도,YEOUIDO,37.521624,126.924191,Y
916,샛강,SAETGANG,37.517274,126.928422,N
917,노량진,NORYANGJIN,37.513534,126.941005,Y
918,노들,NODEUL,37.512887,126.953222,N
919,흑석,HEUKSEOK,37.508770,126.963708,N
920,동작,DONGJAK,37.502936,126.979306,Y
921,구반포,GUBANPO,37.501364,126.987332,N
922,신반포,SINBANPO,37.503415,126.995925,N
923,고속터미널,EXPRESS BUS TERMINAL,37.504810,127.004943,Y
924,사평,SAPYEONG,37.504206,127.015259,N
925,신논현,SINNONHYEON,37.504598,127.025060,Y
926,언주,EONJU,37.507287,127.033868,N
927,선정릉,SEONJEONGNEUNG,37.510980,127.043593,Y
928,삼성중앙,SAMSEONG JUNGANG,37.513011,127.053282,N
929,봉은사,BONGEUNSA,37.514219,127.060245,Y
930,종합운동장,SPORTS COMPLEX,37.511426,127.076275,Y
931,삼전,SAMJEON,37.504738,127.088025,N
932,석촌고분,SEOKCHON GOBUN,37.502558,127.097033,N
933,석촌,SEOKCHON,37.505431,127.106979,Y
934,송파나루,SONGPANARU,37.510410,127.112195,N
935,한성백제,HANSEONG BAEKJE,37.516404,127.116503,N
936,올림픽공원,OLYMPIC PARK,37.516269,127.130288,Y
937,둔촌오륜,DUNCHON O-RYUN,37.519683,127.138397,N
938,중앙보훈병원,VHS MEDICAL CENTER,37.528807,127.148488,Y
