order,code,name_ko,name_en,latitude,longitude,source_crs,verification
1,K209,청량리,CHEONGNYANGNI,37.580895,127.047848,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
2,K210,왕십리,WANGSIMNI,37.560641,127.038785,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
3,K211,서울숲,SEOUL FOREST,37.543646,127.044746,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
4,K212,압구정로데오,APGUJEONG RODEO,37.527519,127.040601,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
5,K213,강남구청,GANGNAM-GU OFFICE,37.517215,127.041310,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
6,K214,선정릉,SEONJEONGNEUNG,37.510933,127.043627,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
7,K215,선릉,SEOLLEUNG,37.505168,127.048709,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
8,K216,한티,HANTI,37.496286,127.052910,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
9,K217,도곡,DOGOK,37.490976,127.055498,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
10,K218,구룡,GURYONG,37.487027,127.059493,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
11,K219,개포동,GAEPODONG,37.489139,127.066121,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
12,K220,대모산입구,DAEMOSAN,37.491550,127.073070,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
13,K221,수서,SUSEO,37.487373,127.101646,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
14,K222,복정,BOKJEONG,37.469041,127.126576,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
15,K223,가천대,GACHON UNIVERSITY,37.448563,127.126696,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
16,K224,태평,TAEPYEONG,37.439789,127.127748,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
17,K225,모란,MORAN,37.432057,127.129131,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
18,K226,야탑,YATAP,37.411374,127.128743,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
19,K227,이매,IMAE,37.396208,127.128288,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
20,K228,서현,SEOHYEON,37.385015,127.123431,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
21,K229,수내,SUNAE,37.378469,127.114289,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
22,K230,정자,JEONGJA,37.366174,127.108097,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
23,K231,미금,MIGEUM,37.350073,127.109009,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
24,K232,오리,ORI,37.339831,127.108949,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
25,K233,죽전,JUKJEON,37.324377,127.107505,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
26,K234,보정,BOJEONG,37.312775,127.108337,WGS84 / EPSG:4326,National Railroad Authority 63-row station reference; municipal polygon cross-check v27.1; no display offset
